# Locations:
# name	x_meters	y_meters	theta

start	775.0	36.0	6.213
hum1_start	775.0	36.0	6.213

D1	737.0	537.0	4.712
aut3_start	737.0	537.0	4.712

D2	687.0	537.0	4.712
aut2_start	687.0	537.0	4.712

D3	587.0	420.0	4.712

D4	537.0	421.0	4.712
aut1_start	537.0	421.0	4.712

D5	487.0	537.0	4.712

OP1	487.0	68.0	1.571
aut1_finish	487.0	68.0	1.571
aut2_finish	487.0	68.0	1.571
aut3_finish	487.0	68.0	1.571

D6	388.0	415.0	4.712

D7	338.0	405.0	4.712

D8	288.0	141.0	4.712

D9	186.0	164.0	6.266

finish	238.0	151.0	4.712
hum1_finish	238.0	151.0	4.712
